ID,ENDOR||PRODUCT,ENDOR||PRODUCT,VENDOR,PRODUCT,PRONAME,ANOTHERNAME,LANGUAGE,CLUE URL,LICENSE,DOWNLOAD1,DOWNLOAD2,DOWNLOAD3,DOWNLOAD4,DOWNLOAD5,openhub,备注,,,,,,
1,  cms_faethon||cms_faethon  cmsfaethon||cms_faethon,  cms_faethon||cms_faethon  cmsfaethon||cms_faethon,cms_faethon,cms_faethon,CMS Faethon,,PHP,http://www.cmsfaethon.com/,"BSD License, GNU General Public License version 2.0 (GPLv2)",http://sourceforge.net/projects/cmsfaethon/files/,,,,,,,,,,,,
2,  cms_faethon||cms_faethon  cmsfaethon||cms_faethon,  cms_faethon||cms_faethon  cmsfaethon||cms_faethon,cmsfaethon,cms_faethon,CMS Faethon,,PHP,http://www.cmsfaethon.com/,"BSD License, GNU General Public License version 2.0 (GPLv2)",http://sourceforge.net/projects/cmsfaethon/files/,,,,,,,,,,,,
3,  cvstrac||cvstrac,,cvstrac,cvstrac,CVSTrac,,C,http://www.cvstrac.org/fossil/doc/trunk/www/index.html,GNU Public License,http://www.cvstrac.org/fossil/brlist,,,,,,,,,,,,
4,  endian||firewall,,endian,firewall,Endian Firewall,,"AspectJ,C,Delphi/Kylix,Erlang,Euphoria,Groovy,Perl,Python",http://www.endian.com/de/community/overview/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/efw/files/,,,,,,,,,,,,
5,  endian||firewall,endian_firewall||endian_firewall,endian_firewall,endian_firewall,Endian Firewall,,"AspectJ,C,Delphi/Kylix,Erlang,Euphoria,Groovy,Perl,Python",http://www.endian.com/de/community/overview/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/efw/files/,,,,,,,,,,,,
6,,,xoops,friendfinder_module,Friendfinder:Xoops,,"PHP,JavaScript",http://www.xoops.org/,GNU GENERAL PUBLIC LICENSE version 2.0 (GPLv2),http://sourceforge.net/projects/xoops/files/XOOPS%20Module%20Repository/XOOPS2/FriendFinder/XOOPS2_mod_friendfinder_3.30_EMSguy.zip/download,,,,,,,,,,,,
7,  catb||gif2png,,catb,gif2png,gif2png,,C,http://www.catb.org/~esr/gif2png/,Zlib,git@gitorious.org:gif2png/gizidas-gif2png.git,,,,,,,,,,,,
8,  gogits||gogs,,gogits,gogs,Gogs,,"Go,CSS,JavaScript",http://gogs.io,MIT License,https://github.com/gogits/gogs.git,,,,,,,,,,,,
9,  goople_cms||goople_cms,,goople_cms,goople_cms,Goople CMS,,PHP,http://gooplecms.sourceforge.net/,"Academic Free License (AFL), GNU General Public License version 2.0 (GPLv2)",http://sourceforge.net/projects/gooplecms/files/Goople%20CMS/,,,,,,,,,,,,
10,  horde||kronolith_h4,,horde,kronolith_h4,Horde Kronolith Calendar Application H4,Horde Kronolith H4;Kronolith H4,"PHP,JavaScript",http://www.horde.org/apps/kronolith,GNU GENERAL PUBLIC LICENSE Version 2,http://www.horde.org/apps/kronolith,,,,,,需注册,,,,,,
11,  ideacart||ideacart,,ideacart,ideacart,IdeaCart,,PHP,http://www.ideacart.com/,GNU Lesser General Public License,http://downloads.fyxm.net/download-now-IdeaCart-Internet-apps-WEB-Design-Web-Design-related-3643.html,,,,,,,,,,,,
12,  digger_solutions||intranet_open_source,,digger_solutions,intranet_open_source,Intranet Open Source,,ASP,http://diggersolutions.com/blogs/diggersolutions/default.aspx,Creative Commons Attribution-NonCommercial-ShareAlike 2.5 License,http://diggersolutions.com/files/folders/intranet_open_source/default.aspx,,,,,,,,,,,,
13,  jobhut.spranger||jobhut,,jobhut.spranger,jobhut,JobHut,,PHP,http://jobhut.spranger.us/,GNU General Public License (GPL),http://www.opensourcescripts.com/info/jobhut-1-2---an-open-source-job-board-solution.html,,,,,,,,,,,,
14,  kde||kmplayer  kmplayer||kmplayer,  kde||kmplayer  kmplayer||kmplayer,kde,kmplayer,KMPlayer,,C++,https://garage.maemo.org/projects/kmplayer/,GNU LESSER GENERAL PUBLIC LICENSE Version 2.1,https://garage.maemo.org/svn/kmplayer/trunk,,,,,,,,,,,,
15,  kde||kmplayer  kmplayer||kmplayer,  kde||kmplayer  kmplayer||kmplayer,kmplayer,kmplayer,KMPlayer,,C++,https://garage.maemo.org/projects/kmplayer/,GNU LESSER GENERAL PUBLIC LICENSE Version 2.1,https://garage.maemo.org/svn/kmplayer/trunk,,,,,,,,,,,,
16,  kde||koffice,,kde,koffice,KOffice,,C++,http://www.koffice.org/,GNU Library or Lesser General Public License version 2.0 (LGPLv2),http://sourceforge.net/projects/kde-windows/files/koffice/,,,,,,,,,,,,
17,,,lykoszine,lykos_reviews_module,Lykos Reviews:Xoops,lykos_reviews:Xoops,PHP,http://sourceforge.net/projects/lykoszine/,GNU General Public License version 2.0 (GPLv2),http://sourceforge.net/projects/lykoszine/files/Lykos%20Reviews%20Module/,,,,,,,,,,,,
18,  maptools||maplab,,maptools,maplab,MapLab,,PHP,http://www.maptools.org/maplab/index.phtml?page=home.html,,http://www.maptools.org/maplab/index.phtml?page=downloads.html,,,,,,,,,,,,
19,  microsoft||.net_framework,,microsoft,.net_framework,Microsoft .NET Framework,.NET Framework,.Net,http://dotnet.github.io/,"MIT License,Apache 2 License",https://github.com/Microsoft/dotnet.git,,,,,,,,,,,,
20,  trevor_mckay||cumin,,trevor_mckay,cumin,MRG Management Console,Cumin,JavaScript,https://www.openhub.net/p/cumin-console,GNU General Public License version 2.0 (GPLv2),http://svn.fedorahosted.org/svn/cumin/trunk,,,,,,,,,,,,
